WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND
174,5.1,21.3,0,28.6,3106.818
154,3.5,53.3,0,25.3,4719.715
0,3.8,0,0,32.3,0
0,2.9,10.2,0,22.2,656.676
0,4.8,0,0,12.6,0
0,5.2,0,0,24,0
166,4.7,24.6,0,18.5,2138.97
0,7.6,0,0,-4.6,0
57,5.1,21.3,0,28.6,3106.818
0,6.9,20.6,0,20.1,2857.014
39,2.1,2,0,27.4,115.08
0,7,0,0,28.6,0
0,1.7,0,0,15.6,0
0,3,2,0,26.4,158.4
0,6.3,0,0,31.1,0
0,7.6,0,0,31.2,0
0,5.1,0,0,15.2,0
0,3.9,1.5,0,11,64.35
0,3.8,0,0,23,0
0,6.7,0,0,30.9,0
0,3.8,3,0,24.7,281.58
0,5.9,0,0,29.3,0
0,6.4,0,0,30.1,0
0,2.9,0,0,27.3,0
200,4.7,20.8,0,33.7,3294.512
0,4.3,0,0,22.3,0
0,5.4,0,0,29.2,0
36,3.6,10.2,0,26.3,965.736
0,3.7,0,0,13.2,0
0,6,0,0,31.4,0
0,8.3,0,0,30.6,0
0,3.6,10.2,0,26.3,965.736
0,4.6,0,0,10.2,0
0,2,0,0,8.3,0
0,4.6,0,0,32.9,0
0,3,0,0,29.2,0
0,2.1,0,0,27.2,0
0,4,0,0,17.8,0
0,3,0,0,28.4,0
0,3.5,53.3,0,25.3,4719.715
0,4.6,0,0,24.2,0
0,2.1,2,0,27.4,115.08
0,3,2.5,0,17,127.5
0,3.8,0.5,0,9.6,18.24
0,4.6,1.8,0,25.3,209.484
0,7.8,0,0,30.3,0
0,2.9,0,0,30.3,0
90,4.2,10.9,0,29.7,1359.666
0,3.2,0,0,26.2,0
0,7.8,0,0,27.6,0
0,2.1,0,0,30.1,0
0,3.2,28.4,0,19.7,1790.336
0,2,0,0,8.3,0
0,3.4,0,0,23.1,0
0,7.8,18.5,0,26.1,3766.23
0,2.3,0,0,30.9,0
0,3,0,0,29.2,0
0,2.7,0,0,28.1,0
0,8.3,0,0,18.8,0
0,2.6,1.5,0,19.1,74.49
0,2.9,0,0,30.1,0
0,2.8,0,0,5.6,0
0,3.5,0,0,23,0
0,7.1,0,0,20.3,0
0,4.2,10.9,0,29.7,1359.666
56,4.2,29.5,0,25.4,3147.06
0,4.4,0,0,32.7,0
138,3.5,53.3,0,25.3,4719.715
0,5.9,0,0,31.3,0
0,3.3,0,0,18.3,0
0,2.3,0,0,-0.1,0
0,5.6,0.3,0,7.8,13.104
0,6.8,0,0,13.3,0
0,5,0,0,11.5,0
0,3.8,0,0,9.4,0
0,4.8,0,0,25,0
0,3.3,14.2,0,16.9,791.934
46,5.1,0.8,0,29.8,121.584
0,2.9,0,0,19.2,0
48,4.7,24.6,0,18.5,2138.97
0,3.8,0,0,20.3,0
0,2.3,0,0,5.9,0
0,3.3,19.8,0,6.7,437.778
0,7.8,0,0,30.3,0
208,5.1,21.3,0,28.6,3106.818
44,3,8.9,0,31.3,835.71
0,4,1.3,0,25.7,133.64
0,3.2,0.3,0,12.1,11.616
0,2.5,0,0,16.8,0
0,3.8,0.5,0,9.6,18.24
0,4.6,0,0,7.3,0
0,3.6,0,0,24.1,0
48,4.7,24.6,0,18.5,2138.97
0,3.2,0,0,3.5,0
0,4.9,0,0,27.4,0
90,3.5,53.3,0,25.3,4719.715
0,2.8,0,0,13.2,0
0,5,0,0,20.3,0
106,5.1,0.8,0,29.8,121.584
0,3.4,0,0,23.1,0
0,7.8,18.5,0,26.1,3766.23
0,6.9,0,0,7.4,0
0,3.2,0,0,17.9,0
0,4,0,0,18.2,0
0,3.8,0.5,0,9.6,18.24
0,5.1,0,0,15.2,0
272,4.2,29.5,0,25.4,3147.06
0,2.6,0,0,31.4,0
108,3,46.2,0,23.4,3243.24
0,4.5,0,0,33.5,0
69,4.7,20.8,0,33.7,3294.512
0,3.2,0,0,21.1,0
215,2.9,0,0,30.1,0
0,4.5,0.5,0,17.6,39.6
37,5.3,9.7,0,28.7,1475.467
0,4,0,0,17.8,0
0,10.3,10.7,0,21.8,2402.578
0,2,0,0,8.3,0
0,6.8,0,0,18.5,0
0,5.2,0,0,31.7,0
0,2.9,10.2,0,22.2,656.676
0,8.4,0,0,6.9,0
0,4.6,0,0,31.9,0
0,4.6,0,0,10.2,0
0,7.6,0,0,12.6,0
32,6.5,81.3,0,28.3,14955.135
78,4.6,1.8,0,25.3,209.484
0,7,0,0,28.6,0
0,7,0,0,27.7,0
138,4.2,29.5,0,25.4,3147.06
0,4.5,0,0,16.6,0
0,3.3,0,0,15.4,0
82,7.2,3.8,0,26.5,725.04
0,2.9,0,0,26.5,0
0,4.5,0,0,13.4,0
67,8,4.1,0,27.2,892.16
0,4.2,0,0,10,0
0,5.6,0.3,0,7.8,13.104
0,4.2,0,0,14.4,0
0,8.4,0,0,16,0
0,4.6,0,0,30.6,0
0,3.4,0,0,19.1,0
0,3.3,0,0,21.1,0
0,3.5,0,0,23.8,0
0,6.6,0,0,19.4,0
0,2.4,0,0,15,0
0,8.2,0,0,4.7,0
0,4.6,0,0,32.9,0
0,2.8,0,0,13.2,0
0,5.4,0,0,29.2,0
0,2.2,0,0,22.6,0
0,4.3,0,0,30.6,0
56,3,46.2,0,23.4,3243.24
0,9.6,0,0,16.1,0
0,2.6,0,0,16.3,0
0,4,0,0,17.8,0
0,5.9,14.7,0,21.7,1882.041
31,3.6,10.2,0,26.3,965.736
41,4.6,1.8,0,25.3,209.484
0,3.9,0,0,31.4,0
0,4,0,0,27.2,0
0,2.3,0,0,22.2,0
0,3.8,0,0,20.3,0
0,5.3,9.7,0,28.7,1475.467
0,2.7,30.7,0,18.1,1500.309
0,8.4,0,0,22.4,0
69,4.7,20.8,0,33.7,3294.512
0,5,0,0,20.3,0
76,6.5,81.3,0,28.3,14955.135
0,2.8,0,0,20.1,0
234,3.5,53.3,0,25.3,4719.715
0,6,0,0,31.4,0
198,2.5,29.2,0,24.4,1781.2
0,2.6,0,0,16.3,0
0,6.3,0,0,31.1,0
0,5.9,0,0,29.3,0
0,7.1,3,0,22.6,481.38
0,5.1,1,0,23.4,119.34
0,4,0,0,27.2,0
0,3.8,0,0,29.3,0
0,4.1,0,0,33.3,0
0,3.7,0,0,21.6,0
0,7.8,18.5,0,26.1,3766.23
0,3.3,4.1,0,23.2,313.896
133,2.5,29.2,0,24.4,1781.2
38,7.2,3.8,0,26.5,725.04
0,6.1,41.7,0,22.4,5697.888
0,6.9,0,0,7.4,0
124,7.8,18.5,0,26.1,3766.23
32,2.6,0,0,31.4,0
0,3.9,0,0,4.2,0
117,4.2,29.5,0,25.4,3147.06
0,3.3,4.1,0,23.2,313.896
67,7.2,3.8,0,26.5,725.04
0,4.2,0,0,20.6,0
0,2.7,30.7,0,18.1,1500.309
71,2.3,0,0,22.4,0
0,7.6,0,0,12.6,0
0,5.3,9.7,0,28.7,1475.467
54,5.3,9.7,0,28.7,1475.467
0,5.9,14.7,0,21.7,1882.041
0,5.4,4.8,0,21.2,549.504
104,7.2,3.8,0,26.5,725.04
0,5.6,0,0,9.3,0
0,2.2,0,0,20,0
0,4.7,0,0,23.2,0
0,4.5,0,0,6.6,0
130,3,46.2,0,23.4,3243.24
0,4.3,0,0,21.8,0
135,8,4.1,0,27.2,892.16
0,2.8,0,0,13.2,0
0,2,0,0,8.3,0
0,5.9,0,0,31.3,0
44,2.6,0,0,31.4,0
0,2.1,0,0,17.5,0
0,5.1,0,0,8.2,0
0,2.3,0,0,20.2,0
0,5.3,0,0,16.2,0
0,5.9,0,0,14.4,0
0,7.9,0,0,27.1,0
0,6.9,0,0,7.4,0
0,2.9,0,0,30.1,0
0,3.5,0,0,7.1,0
0,5,0,0,29.2,0
0,3,0,0,28.2,0
102,2.9,3.6,0,25.7,268.308
0,4.8,0,0,25,0
0,2.3,0,0,22.2,0
0,5.6,0,0,9.3,0
0,3,0,0,26.9,0
0,6.6,0,0,19.4,0
334,4.7,20.8,0,33.7,3294.512
0,1.8,0,0,28.8,0
0,4.6,1.8,0,25.3,209.484
48,5.1,21.3,0,28.6,3106.818
0,5.1,0,0,15.2,0
0,4.4,0.3,0,10,13.2
0,6.2,0,0,30.1,0
0,2.3,0,0,22.2,0
0,5.5,0,0,28.2,0
0,3.8,0,0,32.3,0
0,6.9,0,0,7.4,0
159,5.9,0,0,16.3,0
0,2.3,0,0,22.4,0
126,3,46.2,0,23.4,3243.24
0,3,46.2,0,23.4,3243.24
0,2,0,0,21.9,0
0,2.7,0,0,6.8,0
0,3.2,28.4,0,19.7,1790.336
0,2.7,0,0,28.5,0
0,5.4,0,0,30.4,0
0,4.8,0,0,12.6,0
0,6,0,0,18,0
0,3.5,0,0,23.8,0
0,7.6,0,0,9,0
0,5.5,0,0,30.9,0
0,3.2,0,0,26.2,0
0,2.2,0,0,22.6,0
0,2.5,0,0,29.2,0
0,3.8,0,0,9.4,0
0,5.4,0,0,10.6,0
0,7,0,0,27.7,0
0,3.4,0,0,32.3,0
0,2.2,0,0,22.6,0
90,5.1,0.8,0,29.8,121.584
0,4.1,0,0,30.2,0
0,3.9,0,0,4.2,0
0,6.7,0,0,24.9,0
0,3.2,0,0,21.1,0
0,3,8.9,0,31.3,835.71
0,9.6,0,0,16.1,0
0,2.8,0,0,5.6,0
0,6,0,0,21.7,0
0,4,1.3,0,25.7,133.64
0,6.5,0,0,26.6,0
0,4.7,0,0,23.2,0
0,1.6,0,0,20.7,0
0,2.4,0,0,13.6,0
70,10.3,10.7,0,21.8,2402.578
0,1.7,0,0,15.6,0
60,5.1,0.8,0,29.8,121.584
0,5.2,0,0,16.3,0
0,4.2,0,0,29,0
0,8.3,0,0,9.9,0
0,7.2,0,0,10.7,0
0,3.4,3,0,28,285.6
0,5.9,0,0,16.3,0
0,3.5,0,0,23.8,0
0,5,0,0,29.2,0
0,2.9,0,0,19.2,0
0,7,0,0,19.1,0
77,6.5,81.3,0,28.3,14955.135
0,3.1,0,0,30.6,0
0,3.8,3,0,24.7,281.58
0,5,0,0,20.3,0
0,3,0,0,28.2,0
0,3.2,0,0,17.9,0
0,7,0,0,27.7,0
0,6.2,0,0,31.7,0
0,4.1,0,0,30.2,0
0,4.6,8.9,0,19.6,802.424
0,3.8,0,0,20.3,0
0,5.2,0,0,19.4,0
85,3,46.2,0,23.4,3243.24
0,5.1,1,0,23.4,119.34
0,4.5,0,0,33.5,0
0,4,0,0,18.2,0
0,8.8,1,0,19.4,170.72
0,7.2,0,0,3.3,0
0,3.2,0,0,21.1,0
245,3.5,53.3,0,25.3,4719.715
0,7.8,0,0,30.3,0
0,4,0,0,18.2,0
