WeatherDelay,AWND,PCRP,SNOW,AVGT
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,6.4,0,0,-4.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
0,5.4,0,0,-2.8
