WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND,,,,,,,,,,,,
161,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
61,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
136,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,3.2,0,0,18.2,0,,,,,,,,,,,,
0,5.2,0,0,16.3,0,,,,,,,,,,,,
0,5.9,0,0,16.3,0,,,,,,,,,,,,
131,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
127,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,5,0,0,9.4,0,,,,,,,,,,,,
0,4,0,0,1.9,0,,,,,,,,,,,,
0,2.7,0,0,16.5,0,,,,,,,,,,,,
137,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,4.6,0,0,9.9,0,,,,,,,,,,,,
40,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,2.5,0,0,29.2,0,,,,,,,,,,,,
0,3,0,0,29.2,0,,,,,,,,,,,,
0,3.4,0,0,7.7,0,,,,,,,,,,,,
0,5.5,0,0,19.8,0,,,,,,,,,,,,
30,5.3,9.7,0,28.7,1475.467,,,,,,,,,,,,
128,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
142,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,2.3,0,0,22.4,0,,,,,,,,,,,,
198,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,3.4,0,0,19.1,0,,,,,,,,,,,,
0,3,0,0,28.4,0,,,,,,,,,,,,
45,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,3.2,28.4,0,19.7,1790.336,,,,,,,,,,,,
31,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
0,3.9,0,0,13.9,0,,,,,,,,,,,,
0,3.4,0,0,19.1,0,,,,,,,,,,,,
57,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
40,2.1,2,0,27.4,115.08,,,,,,,,,,,,
0,5.9,0,0,27.8,0,,,,,,,,,,,,
234,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
61,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
53,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
114,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
68,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,4.5,0,0,13.4,0,,,,,,,,,,,,
96,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,2.1,2,0,27.4,115.08,,,,,,,,,,,,
47,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
90,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
40,7.2,3.8,0,26.5,725.04,,,,,,,,,,,,
32,2.3,0,0,22.4,0,,,,,,,,,,,,
45,3,0.8,0,31.4,75.36,,,,,,,,,,,,
0,2.8,0,0,13.2,0,,,,,,,,,,,,
0,7.1,0,0,20.3,0,,,,,,,,,,,,
0,3.4,0,0,30,0,,,,,,,,,,,,
0,3.2,0,0,17.9,0,,,,,,,,,,,,
33,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
0,3.3,14.2,0,16.9,791.934,,,,,,,,,,,,
96,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
47,5,14.5,0,16.4,1189,,,,,,,,,,,,
143,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,3.8,0,0,32.3,0,,,,,,,,,,,,
37,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
0,4.4,0,0,32.7,0,,,,,,,,,,,,
0,3.4,0,0,30,0,,,,,,,,,,,,
98,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
0,6.1,41.7,0,22.4,5697.888,,,,,,,,,,,,
65,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
44,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
0,4.1,0,0,16.9,0,,,,,,,,,,,,
49,2.1,2,0,27.4,115.08,,,,,,,,,,,,
64,3.4,3,0,28,285.6,,,,,,,,,,,,
51,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
93,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
66,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
0,4.9,0,0,27.4,0,,,,,,,,,,,,
0,4,0,0,18.2,0,,,,,,,,,,,,
315,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
55,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
79,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
0,4.9,2,0,16.9,165.62,,,,,,,,,,,,
38,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,5.4,0,0,29.2,0,,,,,,,,,,,,
94,7.2,3.8,0,26.5,725.04,,,,,,,,,,,,
36,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
0,4.6,0,0,31.9,0,,,,,,,,,,,,
235,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,6.6,0,0,19.4,0,,,,,,,,,,,,
0,2.6,1.5,0,19.1,74.49,,,,,,,,,,,,
0,5.6,0,0,30.1,0,,,,,,,,,,,,
69,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,6,0,0,31.1,0,,,,,,,,,,,,
0,2.9,0,0,30.1,0,,,,,,,,,,,,
0,3.9,0,0,28.6,0,,,,,,,,,,,,
0,2.2,1.3,0,8.2,23.452,,,,,,,,,,,,
65,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,3.4,0,0,23.1,0,,,,,,,,,,,,
68,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
40,8,4.1,0,27.2,892.16,,,,,,,,,,,,
0,2.9,0,0,8.9,0,,,,,,,,,,,,
80,2.9,0,0,2.7,0,,,,,,,,,,,,
190,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
105,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
102,2.9,0,0,30.1,0,,,,,,,,,,,,
0,6.3,0,0,31.1,0,,,,,,,,,,,,
0,1.7,0,0,15.6,0,,,,,,,,,,,,
278,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
132,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,3.4,0,0,7.7,0,,,,,,,,,,,,
118,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
0,5.9,0,0,16.3,0,,,,,,,,,,,,
0,4,0,0,34,0,,,,,,,,,,,,
62,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
0,8.4,0,0,16,0,,,,,,,,,,,,
0,8.4,0,0,31,0,,,,,,,,,,,,
115,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,6,0,0,11.1,0,,,,,,,,,,,,
0,4.2,0,0,29,0,,,,,,,,,,,,
0,4.6,9.4,0,11.4,492.936,,,,,,,,,,,,
61,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
46,5.9,0,0,16.3,0,,,,,,,,,,,,
74,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
30,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
0,2.2,0,0,29.7,0,,,,,,,,,,,,
0,3.1,0,0,8.5,0,,,,,,,,,,,,
0,2.5,0,0,6.7,0,,,,,,,,,,,,
0,3.2,0,0,3.5,0,,,,,,,,,,,,
0,6.1,0.3,0,25.9,47.397,,,,,,,,,,,,
142,7.2,3.8,0,26.5,725.04,,,,,,,,,,,,
55,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
0,3.8,0,0,23,0,,,,,,,,,,,,
40,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
0,4.1,0,0,28.8,0,,,,,,,,,,,,
72,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
79,2.6,0,0,31.4,0,,,,,,,,,,,,
0,3.2,0,0,18.2,0,,,,,,,,,,,,
71,5.9,0,0,16.3,0,,,,,,,,,,,,
77,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
184,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
58,2.9,0,0,30.1,0,,,,,,,,,,,,
77,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
88,3.4,3,0,28,285.6,,,,,,,,,,,,
