Date,Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),AWND,PCRP,SNOW,AVGT
1/1/2016,CLT,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHX,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHL,1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHL,-9,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHL,-7,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,CLT,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,RSW,10,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MCO,6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MCI,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MIA,16,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,FLL,7,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PBI,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHX,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,EGE,-4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,BOS,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,TUS,-5,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DCA,163,131,0,0,0,25,6.4,0,0,-4.8
1/1/2016,MSP,2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SEA,32,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,31,31,0,9,0,0,6.4,0,0,-4.8
1/1/2016,DCA,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,CLT,16,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,STL,10,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SAN,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,JFK,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHX,1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,STL,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MIA,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,STL,-8,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHL,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,AUS,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LGA,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MIA,2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MIA,-5,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,BOS,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,TUL,43,13,0,0,0,8,6.4,0,0,-4.8
1/1/2016,PHX,171,12,0,0,0,141,6.4,0,0,-4.8
1/1/2016,RDU,7,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,FLL,-4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,FLL,7,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,RSW,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,TUS,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,TPA,-5,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SEA,1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,RDU,30,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MSP,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MSP,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,BOS,-10,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,-5,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MIA,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,JAC,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MCO,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SFO,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,RNO,9,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PBI,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,CLT,-8,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,CLT,-4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,CLT,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,CLT,6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHL,-12,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHX,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,CLT,-7,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SAN,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MSP,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHX,8,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DCA,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,MIA,62,3,0,0,0,38,6.4,0,0,-4.8
1/1/2016,MCO,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,STL,-7,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,48,46,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,23,19,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DTW,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SNA,8,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,AUS,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAX,29,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,AUS,4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,191,176,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DEN,20,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,98,81,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,ATL,-2,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DCA,-4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-5,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SNA,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,22,22,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,27,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DFW,1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SFO,31,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,FLL,-1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SAN,23,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHX,-4,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAS,24,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SFO,24,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,PHL,16,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,BOS,-11,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,TPA,-7,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DEN,95,27,0,0,0,48,6.4,0,0,-4.8
1/1/2016,SLC,0,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,DEN,-5,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SLC,81,2,0,0,0,52,6.4,0,0,-4.8
1/1/2016,SJC,1,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,RSW,-3,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,LAS,14,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,RDU,-6,0,0,0,0,0,6.4,0,0,-4.8
1/1/2016,SEA,10,10,0,6,0,0,6.4,0,0,-4.8
1/1/2016,SAN,-3,0,0,0,0,0,6.4,0,0,-4.8
1/2/2016,SEA,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SJC,-7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,TPA,6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PDX,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DFW,21,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAS,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,12,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,JFK,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MCO,-7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SAN,4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,RDU,2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SFO,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SNA,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,BOS,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAS,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DCA,1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PDX,18,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SFO,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,BOS,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,29,20,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,-4,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LGA,-10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SJU,3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MCO,10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,-7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,-7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,22,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,10,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,-8,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHL,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,CLT,-7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,RSW,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,RSW,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MCO,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MIA,0,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,FLL,7,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MCO,-6,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PBI,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PSP,-3,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,PHX,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,EGE,33,33,0,14,0,0,5.4,0,0,-2.8
1/2/2016,BOS,-1,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,TUS,44,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,DCA,-8,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,MSP,-12,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,SEA,-2,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,BOS,-5,0,0,0,0,0,5.4,0,0,-2.8
1/2/2016,LAX,-4,0,0,0,0,0,5.4,0,0,-2.8
